food_name,portion_hint,alias_zh,alias_en
火腿蛋餅,1 serving (about 300 g),,
玉米蛋餅,1 serving (about 300 g),,
蘿蔔糕,1 serving (about 300 g),,
蘿蔔糕加蛋,1 serving (about 300 g),,
飯糰,1 meal box / bowl (about 420 g),,
燒餅油條,1 serving (about 300 g),,
三明治,1 serving (about 300 g),,
火腿蛋吐司,1 serving (about 300 g),,
鮪魚蛋吐司,1 serving (about 300 g),,
花生吐司,1 serving (about 300 g),,
奶油吐司,1 serving (about 300 g),,
厚片吐司,1 serving (about 300 g),,
法式吐司,1 serving (about 300 g),,
漢堡,1 serving (about 300 g),,
豬肉漢堡,1 serving (about 300 g),,
雞腿漢堡,1 serving (about 300 g),,
雞塊,1 serving (about 300 g),,
薯條,1 serving (about 300 g),,
薯餅,1 serving (about 300 g),,
炸雞,1 serving (about 300 g),,
炸雞腿,1 serving (about 300 g),,
炸雞排,1 serving (about 300 g),,
鹽酥雞,1 serving (about 300 g),,
地瓜球,1 serving (about 180 g),,
甜不辣,1 serving (about 300 g),,
黑輪,1 serving (about 300 g),,
蚵仔煎,1 serving (about 300 g),,
大腸麵線,1 bowl (about 550 g),,
蚵仔麵線,1 bowl (about 550 g),,
肉圓,1 serving (about 300 g),,
碗粿,1 serving (about 300 g),,
米糕,1 serving (about 300 g),,
肉粽,1 serving (about 300 g),,
鹹粥,1 bowl (about 550 g),,
皮蛋瘦肉粥,1 bowl (about 550 g),,
海鮮粥,1 bowl (about 550 g),,
廣東粥,1 bowl (about 550 g),,
雞蓉玉米湯,1 bowl (about 550 g),,
酸辣湯,1 bowl (about 550 g),,
玉米濃湯,1 bowl (about 550 g),,
貢丸湯,1 bowl (about 550 g),,
魚丸湯,1 bowl (about 550 g),,
紫菜蛋花湯,1 bowl (about 550 g),,
味噌湯,1 bowl (about 550 g),,
蛤蜊湯,1 bowl (about 550 g),,
冬瓜排骨湯,1 bowl (about 550 g),,
香菇雞湯,1 bowl (about 550 g),,
麻油雞,1 serving (about 300 g),,
薑母鴨,1 serving (about 300 g),,
羊肉爐,1 serving (about 300 g),,
滷味,1 serving (about 300 g),,
豆干滷味,1 serving (about 300 g),,
海帶滷味,1 serving (about 300 g),,
鴨血滷味,1 serving (about 300 g),,
米血糕,1 serving (about 300 g),,
雞胗滷味,1 serving (about 300 g),,
豬耳朵滷味,1 serving (about 300 g),,
涼拌小黃瓜,1 serving (about 300 g),,
涼拌木耳,1 serving (about 300 g),,
凱薩沙拉,1 serving (about 180 g),,
和風沙拉,1 serving (about 180 g),,
鮪魚沙拉,1 serving (about 180 g),,
雞肉沙拉,1 serving (about 180 g),,
水果沙拉,1 serving (about 180 g),,
無糖豆漿,medium cup (500 ml),,
有糖豆漿,medium cup (500 ml),,
米漿,1 serving (about 300 g),,
黑豆漿,medium cup (500 ml),,
牛奶,1 serving (about 300 g),,
低脂牛奶,1 serving (about 300 g),,
巧克力牛奶,1 serving (about 300 g),,
優酪乳,1 serving (about 300 g),,
乳酸飲料,medium cup (500 ml),,
青茶,medium cup (500 ml),,
綠茶,medium cup (500 ml),,
紅茶,medium cup (500 ml),,
烏龍茶,medium cup (500 ml),,
四季春茶,medium cup (500 ml),,
茉莉綠茶,medium cup (500 ml),,
奶茶,medium cup (500 ml),,
鮮奶茶,medium cup (500 ml),,
珍珠奶茶,medium cup (500 ml),,
珍珠紅茶,medium cup (500 ml),,
珍珠綠茶,medium cup (500 ml),,
珍珠青茶,medium cup (500 ml),,
冬瓜茶,medium cup (500 ml),,
冬瓜檸檬,1 serving (about 300 g),,
檸檬紅茶,medium cup (500 ml),,
檸檬綠茶,medium cup (500 ml),,
百香綠茶,medium cup (500 ml),,
多多綠茶,medium cup (500 ml),,
蜂蜜檸檬,1 serving (about 300 g),,
柳橙汁,1 serving (about 300 g),,
蘋果汁,medium cup (500 ml),,
葡萄汁,1 serving (about 300 g),,
西瓜汁,1 serving (about 300 g),,
木瓜牛奶,1 serving (about 300 g),,
酪梨牛奶,1 serving (about 300 g),,
美式咖啡,medium cup (500 ml),,
拿鐵,medium cup (500 ml),,
卡布奇諾,1 serving (about 300 g),,
摩卡咖啡,medium cup (500 ml),,
可可,1 serving (about 300 g),,
可樂,medium cup (500 ml),,
雪碧,1 serving (about 300 g),,
氣泡水,1 serving (about 300 g),,
礦泉水,1 serving (about 300 g),,
無糖氣泡水,1 serving (about 300 g),,
布丁,1 serving (about 300 g),,
茶葉蛋,medium cup (500 ml),,
地瓜,1 serving (about 180 g),,
烤玉米,1 serving (about 300 g),,
香蕉,1 serving (about 180 g),,
蘋果,1 serving (about 180 g),,
芭樂,1 serving (about 180 g),,
肉燥飯,1 bowl (about 450 g),,
豬腳飯,1 bowl (about 450 g),,
滷雞腿飯,1 bowl (about 450 g),,
香腸飯,1 bowl (about 450 g),,
鯖魚便當,1 serving (about 500 g),,
鱈魚便當,1 serving (about 500 g),,
蒜泥白肉便當,1 serving (about 500 g),,
打拋豬飯,1 bowl (about 450 g),,
海南雞飯,1 serving (about 500 g),,
咖哩雞腿飯,1 serving (about 500 g),,
咖哩牛肉飯,1 serving (about 500 g),,
肉絲炒飯,1 plate (about 420 g),,
雞肉炒飯,1 plate (about 420 g),,
泡菜炒飯,1 plate (about 420 g),,
火腿炒飯,1 plate (about 420 g),,
廣州炒飯,1 plate (about 420 g),,
蛋包飯,1 serving (about 420 g),,
咖哩蛋包飯,1 serving (about 450 g),,
豬排蛋包飯,1 serving (about 500 g),,
叉燒飯,1 bowl (about 450 g),,
燒鴨飯,1 bowl (about 450 g),,
油雞飯,1 bowl (about 450 g),,
糙米飯,1 bowl (about 200 g),,
五穀飯,1 bowl (about 200 g),,
白飯,1 bowl (about 180 g),,
鍋燒意麵,1 bowl (about 550 g),,
鍋燒烏龍麵,1 bowl (about 550 g),,
鍋燒雞絲麵,1 bowl (about 550 g),,
麻油麵線,1 bowl (about 450 g),,
當歸麵線,1 bowl (about 450 g),,
肉羹麵,1 bowl (about 500 g),,
肉羹米粉,1 bowl (about 500 g),,
魷魚羹麵,1 bowl (about 500 g),,
魷魚羹米粉,1 bowl (about 500 g),,
茄汁義大利麵,1 plate (about 420 g),,
白醬義大利麵,1 plate (about 420 g),,
青醬義大利麵,1 plate (about 420 g),,
肉醬義大利麵,1 plate (about 420 g),,
海鮮義大利麵,1 plate (about 420 g),,
蛤蜊義大利麵,1 plate (about 420 g),,
培根義大利麵,1 plate (about 420 g),,
焗烤義大利麵,1 plate (about 450 g),,
臭豆腐,1 serving (about 250 g),,
大腸包小腸,1 serving (about 220 g),,
潤餅,1 roll (about 220 g),,
刈包,1 serving (about 180 g),,
豬血糕,1 serving (about 150 g),,
炸豆腐,1 serving (about 220 g),,
鹽水雞,1 serving (about 280 g),,
雞排堡,1 serving (about 260 g),,
雞排吐司,1 serving (about 220 g),,
雞翅,1 serving (about 180 g),,
牛肉湯,1 bowl (about 400 g),,
豬肝湯,1 bowl (about 400 g),,
豬血湯,1 bowl (about 400 g),,
下水湯,1 bowl (about 400 g),,
魚片湯,1 bowl (about 400 g),,
冬粉湯,1 bowl (about 400 g),,
貢丸蛋花湯,1 bowl (about 400 g),,
香菇貢丸湯,1 bowl (about 400 g),,
豆腐湯,1 bowl (about 350 g),,
青菜豆腐湯,1 bowl (about 350 g),,
高麗菜,1 serving (about 180 g),,
空心菜,1 serving (about 180 g),,
菠菜,1 serving (about 180 g),,
青江菜,1 serving (about 180 g),,
花椰菜,1 serving (about 180 g),,
番茄炒蛋,1 serving (about 220 g),,
蔥花蛋,1 serving (about 180 g),,
荷包蛋,1 serving (about 55 g),,
水煮蛋,1 serving (about 55 g),,
滷蛋,1 serving (about 60 g),,
蒸蛋,1 serving (about 140 g),,
蒸蛋豆腐,1 serving (about 200 g),,
麻婆豆腐,1 serving (about 220 g),,
宮保雞丁,1 serving (about 260 g),,
糖醋排骨,1 serving (about 260 g),,
三杯雞,1 serving (about 280 g),,
鹽烤鯖魚,1 serving (about 180 g),,
烤鮭魚,1 serving (about 180 g),,
煎鮭魚,1 serving (about 180 g),,
煎雞腿排,1 serving (about 200 g),,
烤雞腿,1 serving (about 200 g),,
烤雞胸,1 serving (about 180 g),,
雞胸肉沙拉,1 serving (about 220 g),,
凱薩雞肉沙拉,1 serving (about 220 g),,
水果優格,1 serving (about 180 g),,
原味優格,1 serving (about 180 g),,
希臘優格,1 serving (about 170 g),,
蛋塔,1 serving (about 70 g),,
車輪餅,1 serving (about 90 g),,
紅豆餅,1 serving (about 90 g),,
綠豆椪,1 serving (about 70 g),,
鳳梨酥,1 serving (about 50 g),,
太陽餅,1 serving (about 60 g),,
蛋黃酥,1 serving (about 70 g),,
麻糬,1 serving (about 80 g),,
仙草凍,1 serving (about 220 g),,
愛玉冰,1 serving (about 250 g),,
豆花,1 serving (about 260 g),,
